Inventory Text Backup
Saved at: 2026-03-09 02:46:31 AM
------------------------------------------------------------
Item Name | Category | Quantity | Date Added | Date Updated
------------------------------------------------------------
Tissue | For cleaning | 8 | 2026-03-09 12:18:13 PM | -
Alcohol | For cleaning | 8 | 2026-03-09 12:18:04 PM | -
Domex | For cleaning | 8 | 2026-03-09 12:17:52 PM | -
Zonrox | For cleaning | 8 | 2026-03-09 12:17:45 PM | -
Bowl Deodorizer | For cleaning | 7 | 2026-03-09 12:17:35 PM | -
Detergent Powder | For cleaning | 6 | 2026-03-09 12:17:27 PM | -
Dishwashing | For cleaning | 10 | 2026-03-09 12:17:16 PM | -
Angel Evaporada | Baking | 10 | 2026-03-09 12:17:06 PM | -
Cake Flour | Baking | 10 | 2026-03-09 12:16:55 PM | -
All Purpose Flour | Baking | 10 | 2026-03-09 12:16:43 PM | -
Butter | Baking | 10 | 2026-03-09 12:16:26 PM | -
Cucumber | Vegetables | 10 | 2026-03-09 12:12:02 PM | -
Garlic | Vegetables | 10 | 2026-03-09 12:11:55 PM | 2026-03-09 12:16:02 PM
Tomato | Vegetables | 10 | 2026-03-09 12:11:51 PM | 2026-03-09 12:16:07 PM
Onion | Vegetables | 10 | 2026-03-09 12:11:46 PM | -
Ketchup | Kitchen stocks | 10 | 2026-03-09 12:05:24 PM | -
Cheese (quickmelt) | Kitchen stocks | 10 | 2026-03-09 12:05:05 PM | -
Rice | Kitchen stocks | 10 | 2026-03-09 12:04:51 PM | -
Ice Cream | Pasta | 10 | 2026-03-09 12:01:45 PM | -
Chicken Fillet | Pasta | 10 | 2026-03-09 12:01:36 PM | -
Nachos | Pasta | 10 | 2026-03-09 12:01:25 PM | -
Fries | Pasta | 10 | 2026-03-09 12:01:17 PM | -
Olives | Pasta | 10 | 2026-03-09 12:01:08 PM | -
Spanish Sardines | Pasta | 10 | 2026-03-09 12:00:22 PM | -
Ground Pork | Pasta | 10 | 2026-03-09 12:00:15 PM | -
Grounded Beef | Pasta | 10 | 2026-03-09 12:00:08 PM | -
Mushroom | Pasta | 10 | 2026-03-08 11:59:58 AM | -
Ham | Pasta | 10 | 2026-03-08 11:59:50 AM | -
Pasta | Pasta | 10 | 2026-03-08 11:59:46 AM | -
Boreen Condensed Milk | Shakes | 10 | 2026-03-08 11:59:32 AM | -
Vivio Whipped Cream | Shakes | 10 | 2026-03-08 11:59:18 AM | -
Evaporated Milk | Shakes | 10 | 2026-03-08 11:59:09 AM | -
Crushed Grahams | Shakes | 10 | 2026-03-08 11:58:57 AM | -
Mango Puree | Shakes | 10 | 2026-03-08 11:58:48 AM | -
Mango Chunks | Shakes | 10 | 2026-03-08 11:58:41 AM | -
Cucumber Lemonade | Lemonade | 10 | 2026-03-08 11:58:25 AM | -
Yakult | Lemonade | 10 | 2026-03-08 11:58:14 AM | -
Honey | Lemonade | 10 | 2026-03-08 11:58:07 AM | -
Lemon Syrup | Lemonade | 10 | 2026-03-08 11:58:01 AM | -
Lemon | Lemonade | 10 | 2026-03-08 11:57:55 AM | -
Green Apple | Fruit Tea and Soda | 10 | 2026-03-08 11:57:47 AM | -
Passion Fruit | Fruit Tea and Soda | 10 | 2026-03-08 11:57:40 AM | -
Strawberry | Fruit Tea and Soda | 10 | 2026-03-08 11:57:34 AM | -
Blueberry | Fruit Tea and Soda | 10 | 2026-03-08 11:57:27 AM | -
Sprite | Fruit Tea and Soda | 10 | 2026-03-08 11:57:23 AM | -
Hazel Nut Syrup | Coffee | 10 | 2026-03-08 11:57:07 AM | -
White Choco Sauce | Coffee | 10 | 2026-03-08 11:56:58 AM | -
Choco Chips | Coffee | 10 | 2026-03-08 11:56:29 AM | -
Dark Chocolate Sauce | Coffee | 10 | 2026-03-08 11:56:13 AM | -
Caramel Syrup | Coffee | 10 | 2026-03-08 11:55:50 AM | -
Coffee Beans | Coffee | 10 | 2026-03-08 11:55:39 AM | -
Full Cream Milk | Coffee | 10 | 2026-03-08 11:55:28 AM | -
Cheescake Powder | Add Ons | 10 | 2026-03-08 11:55:03 AM | -
Popping Bobba | Add Ons | 10 | 2026-03-08 11:54:55 AM | -
Nata De Coco | Add Ons | 10 | 2026-03-08 11:54:48 AM | -
Fruit Jelly | Add Ons | 10 | 2026-03-08 11:54:41 AM | -
Topioca Pearls | Add Ons | 50 | 2026-03-08 11:54:15 AM | -
Sugar Syrop | Milktea | 10 | 2026-03-08 11:53:56 AM | -
Frappe Powder | Milktea | 10 | 2026-03-08 11:53:51 AM | -
Black Tea | Milktea | 10 | 2026-03-08 11:53:43 AM | -
Biscoff Powder | Milktea | 10 | 2026-03-08 11:53:39 AM | -
Matcha | Milktea | 10 | 2026-03-08 11:53:32 AM | -
Belgian Chocolate | Milktea | 10 | 2026-03-08 11:53:28 AM | -
Double Dutch | Milktea | 10 | 2026-03-08 11:53:22 AM | -
Cookies n Cream | Milktea | 10 | 2026-03-08 11:53:11 AM | -
Salted Caramel | Milktea | 10 | 2026-03-08 11:52:56 AM | 2026-03-09 12:11:26 PM
Dark Chocolate | Milktea | 10 | 2026-03-08 11:52:49 AM | -
Wintermelon | Milktea | 10 | 2026-03-08 11:52:44 AM | -
Redvelvet | Milktea | 10 | 2026-03-08 11:52:39 AM | -
Okinawa | Milktea | 20 | 2026-03-08 11:52:28 AM | -
Taro | Milktea | 20 | 2026-03-08 11:52:22 AM | -
Thai | Milktea | 20 | 2026-03-08 11:52:20 AM | -
Java | Milktea | 20 | 2026-03-08 11:52:16 AM | -
Ube | Milktea | 20 | 2026-03-08 11:52:06 AM | -
mark | Coffee | 8 | - | -
